City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
166,Zhob,PK,2021-04-24 17:10:52,31.3411,69.4481,71.55,30,1,0.89
167,Isangel,VU,2021-04-24 17:10:52,-19.55,169.2667,77.34,82,83,10.45
168,Marawi,PH,2021-04-24 17:10:52,7.9986,124.2928,77.0,89,46,4.0
169,San Juan,AR,2021-04-24 17:10:53,-31.5375,-68.5364,71.74,33,0,5.99
170,Kargil,IN,2021-04-24 17:10:53,34.5667,76.1,32.43,38,3,4.5
171,Benjamin Constant,BR,2021-04-24 17:10:53,-4.3831,-70.0311,87.8,70,75,5.75
172,Ciamis,ID,2021-04-24 17:10:54,-7.3257,108.3534,72.39,95,74,1.54
173,Sigli,ID,2021-04-24 17:10:54,5.3848,95.9609,78.94,79,100,4.79
174,Myitkyina,MM,2021-04-24 17:08:06,25.3833,97.4,78.1,36,12,2.15
175,Kruisfontein,ZA,2021-04-24 17:10:54,-34.0033,24.7314,60.01,91,93,1.99
176,Walvis Bay,NA,2021-04-24 17:10:55,-22.9575,14.5053,66.2,68,21,13.8
177,Broken Hill,AU,2021-04-24 17:10:55,-31.95,141.4333,53.6,62,0,5.75
178,Salalah,OM,2021-04-24 17:09:39,17.0151,54.0924,82.53,73,19,7.56
179,Sola,VU,2021-04-24 17:10:56,-13.8833,167.55,81.93,76,94,14.16
180,Sudak,UA,2021-04-24 17:10:56,44.85,34.9667,51.03,69,61,3.69
181,Beringovskiy,RU,2021-04-24 17:10:56,63.05,179.3167,27.95,98,96,3.36
182,San Juan Bautista,PE,2021-04-24 17:10:56,-14.0108,-75.7358,70.0,83,0,9.22
183,Faya,SA,2021-04-24 17:10:57,18.3851,42.4509,64.4,77,75,5.75
184,Kon Tum,VN,2021-04-24 17:10:57,14.35,108.0,72.5,93,60,1.01
185,Bilma,NE,2021-04-24 17:10:57,18.6853,12.9164,100.76,6,36,9.22
186,Mahebourg,MU,2021-04-24 17:10:58,-20.4081,57.7,78.8,89,75,14.97
187,Aswan,EG,2021-04-24 17:10:58,24.0934,32.907,94.12,10,0,15.35
188,Severnyy,RU,2021-04-24 17:10:59,50.677,36.5532,37.4,81,40,8.95
189,Tuatapere,NZ,2021-04-24 17:10:59,-46.1333,167.6833,48.0,78,88,7.0
190,Tiksi,RU,2021-04-24 17:10:59,71.6872,128.8694,30.85,93,100,12.73
191,Emba,KZ,2021-04-24 17:11:00,48.8264,58.1442,48.25,71,73,10.83
192,Nekhayevskiy,RU,2021-04-24 17:11:00,50.4106,41.7561,44.01,73,81,9.08
193,Lebu,CL,2021-04-24 17:11:00,-37.6167,-73.65,57.94,69,2,16.64
194,Mount Isa,AU,2021-04-24 17:11:00,-20.7333,139.5,71.6,30,7,6.91
195,Bonavista,CA,2021-04-24 17:11:01,48.6499,-53.1147,50.0,50,56,13.8
196,Comodoro Rivadavia,AR,2021-04-24 17:06:58,-45.8667,-67.5,62.6,51,0,10.36
197,Ostrovnoy,RU,2021-04-24 17:11:01,68.0531,39.5131,36.54,99,100,1.66
198,Tingo Maria,PE,2021-04-24 17:11:02,-9.2895,-76.0088,80.6,74,20,2.3
199,Victoria,HK,2021-04-24 17:09:44,22.2855,114.1577,77.0,86,37,9.42
200,Tasiilaq,GL,2021-04-24 17:11:02,65.6145,-37.6368,35.6,80,75,10.36
201,Port Blair,IN,2021-04-24 17:11:02,11.6667,92.75,82.22,71,34,8.19
202,Tazovskiy,RU,2021-04-24 17:11:03,67.4667,78.7,31.59,92,100,9.86
203,San Quintin,MX,2021-04-24 17:11:03,30.4833,-115.95,62.33,68,37,12.26
204,Whitecourt,CA,2021-04-24 17:11:03,54.1502,-115.6855,33.8,44,20,3.44
205,Hatillo,PR,2021-04-24 17:11:04,18.4863,-66.8254,87.01,65,40,17.27
206,Gibsons,CA,2021-04-24 17:11:04,49.3997,-123.5027,48.99,100,100,1.14
207,Olafsvik,IS,2021-04-24 17:11:04,64.8945,-23.7142,44.46,90,100,13.98
208,Moa,CU,2021-04-24 17:11:05,20.6569,-74.9403,85.19,60,10,14.0
209,Kungurtug,RU,2021-04-24 17:11:05,50.5994,97.5228,21.18,94,97,1.9
210,Nabire,ID,2021-04-24 17:11:05,-3.3667,135.4833,73.99,96,100,2.28
211,Alta Floresta,BR,2021-04-24 17:11:06,-9.8756,-56.0861,81.93,76,61,4.14
